输入年份,输入月份,输入天数,期望年份,期望月份,期望天数,输出年份,输出天数,输出日期
1899,1,1,0,0,0,0,0,0
1900,1,31,1900,2,1,1900,2,1
1901,2,28,1901,3,1,1901,3,1
2007,3,31,2007,4,1,2007,4,1
2006,4,30,2006,5,1,2006,5,1
2005,5,31,2005,6,1,2005,6,1
2004,6,30,2004,7,1,2004,7,1
2003,7,31,2003,8,1,2003,8,1
2002,8,31,2002,9,1,2002,9,1
2001,9,30,2001,10,1,2001,10,1
2000,10,31,2000,11,1,2000,11,1
2299,11,30,2299,12,1,2299,12,1
2300,12,31,2301,1,1,2301,1,1
2301,1,1,0,0,0,0,0,0
2000,13,15,0,0,0,0,0,0
2000,0,15,0,0,0,0,0,0
2000,11,25,2000,11,26,2000,11,26
2000,2,24,2000,2,25,2000,2,25
2000,1,0,0,0,0,0,0,0
2000,1,2,2000,1,3,2000,1,3
2000,1,32,0,0,0,0,0,0
2000,1,30,2000,1,31,2000,1,31
1999,2,29,0,0,0,0,0,0
2000,2,29,2000,3,1,2000,3,1
2004,2,29,2004,3,1,2004,3,1
2004,2,30,0,0,0,0,0,0
2000,3,30,2000,3,31,2000,3,31
2000,3,32,0,0,0,0,0,0
2000,4,31,0,0,0,0,0,0
2000,4,29,2000,4,30,2000,4,30
2000,5,30,2000,5,31,2000,5,31
2000,5,32,0,0,0,0,0,0
2000,6,29,2000,6,30,2000,6,30
2000,6,31,0,0,0,0,0,0
2000,7,30,2000,7,31,2000,7,31
2000,7,32,0,0,0,0,0,0
2000,8,30,2000,8,31,2000,8,31
2000,8,32,0,0,0,0,0,0
2000,9,29,2000,9,30,2000,9,30
2000,9,31,0,0,0,0,0,0
2000,10,30,2000,10,31,2000,10,31
2000,10,32,0,0,0,0,0,0
2000,11,29,2000,11,30,2000,11,30
2000,11,31,0,0,0,0,0,0
2000,12,30,2000,12,31,2000,12,31
2000,12,32,0,0,0,0,0,0
准确率为1.0
